lng,lat
-97.822,42.3314
-74.3687,39.5996
-97.822,41.533
-97.822,37.751
-82.8981,41.4379
-84.3244,33.8274
-92.402,38.8817
-84.0833,9.9333
-87.8845,42.5292
9,51
-122.5697,38.1074
2.3615,48.8637
-122.7278,37.7848
-122.4842,37.7957
25.3333,37.9882
-122.9001,42.2876
-122.7507,38.3928
-116.7112,47.7887
-41.4167,-3.3167
81.85,25.45
9.0,53.55
22.9439,40.6403
22.9439,40.6403
2.35,48.86
9.0,54.3157
9.5167,54.5833
9.0,53.55
9.0,51.0
-122.7278,37.7848
138.5986,-34.9287
-87.7017,41.9206
-88.2615,41.759
-83.1908,42.3295
79.15,10.8
11.571,48.1345
11.571,48.1345
11.571,48.1345
11.571,48.1345
-48.9667,-16.3333
-122.7278,37.7848
-122.7278,37.7848
-122.7278,37.7848
-122.4194,37.7749
4.3528,50.85
2.3333,48.8667
44.7908,41.725
25.3167,54.6833
-9.23,38.7604
-47.9167,-15.7833
9,34
-54.5833,-25.55
44.7908,41.725
-2.9766,56.461
-46.6358,-23.5477
-66,8
-38.5167,-12.9833
-74.1268,40.8555
-6.8443000000000005,34.0138
-7.6204,33.0007
-97.822,43.0762
31.3666,30.0771
24.7281,59.4339
22.9439,40.6403
72.8258,18.975
9.6833,45.8084
11.5154,48.1526
-74.1978,40.1524
11.0667,47.3
-46.6358,-23.5477
13.4109,52.5285
9.4688,53.6084
5.5597,51.4217
11.2806,47.9107
-35.85,-9.4833
-112.0265,33.5091
-43.9333,-19.9167
22.9439,40.6403
9.0,54.3157
-43.2333,-22.9
23.8167,38.0667
23.7167,37.9667
107.6186,-6.9039
43.5,42
74.3686,31.4888
8.95,44.4167
33.3667,35.1667
43,11.5
44.0,33.0
-9.1333,38.7167
14.8212,42.8333
-118.3147,33.8302
9.0,51.0
9,51
10.75,59.95
-88.106,41.6398
24.0156,39.4439
28.9647,41.0186
-75.1954,39.8353
31.2859,30.0771
66.0,33.0
29.9553,31.2156
4.8333,50.8833
9,51
2.3615,48.8637
-46.6358,-8.05
27.2667,44.1167
-157.9752,21.3973
-46.5262,-23.4507
3.9531,36.5422
35.4853,38.7322
-117.198,47.697
-76.4358,39.2951
-97.3842,32.6586
-122.7278,37.7848
-122.2708,37.8044
-122.2708,37.8044
-122.2708,37.8044
4.1879,50.4866
11.5341,48.1388
-74.037,40.7939
-82.1672,35.2277
-87.9761,41.8816
-87.71340000000001,41.8194
-88.1168,44.5709
-9.3783,38.801
-84.1165,10.0024
-5,32
2.6552,39.5743
9,51
-73.9924,40.7553
6.6333,49.75
-75.8265,45.3433
34.7667,32.0667
-87.6027,41.8014
10.2918,47.0126
10.2918,47.0126
10.3667,52.4833
-43.2333,-22.9
-42.0333,-20.7333
-46.6361,-23.5475
-97.822,37.751
23.9333,43.4667
-46.6361,-23.5475
9.7083,52.3914
72.8258,18.975
24.5456,46.5402
14.737,50.8859
8.05,52.2667
16.8808,52.4812
8,10
-79.5909,43.7144
-17.4381,14.6708
19.8189,41.3275
19.8189,41.3275
24.7281,59.4339
44.7908,41.725
5.3583,51.3192
-50.15,-25.4167
-46.6358,-23.5477
8.3103,48.8024
72.8258,18.975
14.5019,35.9125
-38.5167,-12.9833
-99.1386,19.4342
21.0167,52.2333
15.9167,56.95
13.75,51.0836
11.4917,48.1188
11.5833,48.15
9.0,51.0
9,51
-97.822,37.751
8.1253,49.9122
-117.127,32.9656
9,51
-106.8667,28.4167
-122.6433,45.5144
7.5812,50.3586
11.4096,48.7212
9.0,51.444
9.0,51.0
-0.2167,5.55
2.159,41.3888
36.8167,-1.2833
9.9416,52.4553
-49.25,-25.4167
-46.6361,-23.5475
3,28
-41.4833,-16.6
35.9333,31.95
50.5831,26.2361
110.4203,-6.9932
27.9833,45.2667
55.3047,25.2582
-43.9333,-19.9167
112.7508,-7.2492
-72.6819,41.8648
-73.9456,41.2628
-77.05,-12.05
-73.8783,40.7354
-73.6487,45.4671
-95.4099,29.7527
101.6783,3.1328
-81.2307,43.0123
106.8294,-6.1744
-43.2333,-22.9
-76.4381,40.3915
-117.0167,32.5333
24.9375,60.1708
-100.1375,20.4894
-9.1333,38.7167
-100.3167,25.6667
-100.9833,22.15
-122.1157,37.9021
-46.6358,-23.5477
-9.1394,38.7139
-47.45,-23.4833
11.3278,48.2078
44.0089,36.19
24.1,56.95
-99.1386,19.4342
-73.9422,40.8399
23.7333,37.9833
14.3333,41.0667
26.0622,44.4186
-51.2,-30.0333
-79.3333,44.7667
4.9167,52.35
3,28
16.3667,48.2
-49.2667,-16.6667
-5,32
-84.3244,33.8274
-2.2167,52.1333
19.8189,41.3275
-46.9333,-23.55
-0.0941,51.5144
-16.4102,28.4769
-83.8809,41.4446
9.0,54.3334
-120.1956,36.9127
-87.9921,42.0643
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
11.571,48.1345
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
12.0409,49.2061
72.8258,18.975
-66.0,8.0
26.0622,51.3963
9.0,51.444
-97.822,37.751
-118.2437,34.0522
-73.8164,40.8326
-84.2751,33.749
-97.822,37.751
7.85,48.0
-84.3366,33.7773
4.9,52.3667
-85.7338,38.2217
11.571,48.1345
